# referencia de ruido: PSD promedio de los archivos de Datos/Ruido (Welch, notch 60Hz)
freq_hz,psd_medio
433.0,2.535985275465021e-07
433.5,2.485677270293315e-07
434.0,2.3525884964548414e-07
434.5,2.4067830110195237e-07
435.0,2.4788965825239063e-07
435.5,2.4392624414549005e-07
436.0,2.5139463161985743e-07
436.5,2.4777563826149333e-07
437.0,2.417579002455775e-07
437.5,2.484354993038589e-07
438.0,2.2611495218261357e-07
438.5,2.370938299056867e-07
439.0,2.558127471665318e-07
439.5,3.1355520632619687e-07
440.0,3.7301259633556123e-07
440.5,2.6881651562100936e-07
441.0,2.240925090623429e-07
441.5,2.2637415877001404e-07
442.0,2.2919566156190667e-07
442.5,2.1656374400834325e-07
443.0,2.338798884462647e-07
443.5,2.274091638975673e-07
444.0,2.1617159863108858e-07
444.5,2.0586446851613646e-07
445.0,2.0659589723466685e-07
445.5,2.195135836501947e-07
446.0,2.2951795957615204e-07
446.5,2.226424435118885e-07
447.0,2.0930659606151397e-07
447.5,2.253608333117167e-07
448.0,2.1485230094884093e-07
